"","lambda","q","n","W","p_val"
"66",0,2,15,0.996714577968448,4.833328032472e-09
"67",0,2,16,0.997405481715299,1.55219641375865e-07
"68",0,2,17,0.993256478404153,1.23669252154363e-14
"69",0,2,18,0.997980251343087,4.09975160667349e-06
"70",0,2,19,0.991640474185166,1.33995427742054e-16
"71",0,2,20,0.996979040726032,1.7312559261272e-08
"72",0,2,21,0.995263179372133,1.06754915301228e-11
"73",0,2,22,0.996031231551594,2.29841591767888e-10
"74",0,2,23,0.998836362168196,0.00129318112939667
"75",0,2,24,0.999017912875621,0.00511475543639798
"76",0,2,25,0.998198392828118,1.59113006601504e-05
"77",0,2,26,0.997053791782868,2.51089012619014e-08
"78",0,2,27,0.998045962621597,6.12410898267995e-06
"79",0,2,28,0.99957101524226,0.346519944662373
"80",0,2,29,0.997966111490471,3.76352991112335e-06
"81",0,2,30,0.998441020416419,7.82633361656864e-05
"82",0,2,31,0.996918881078315,1.28826559896736e-08
"83",0,2,32,0.999054198373273,0.0067709289429894
"84",0,2,33,0.996910925436842,1.23918363319754e-08
"85",0,2,34,0.998981248401156,0.00385920083257918
"86",0,2,35,0.998218824786395,1.8131196840065e-05
"87",0,2,36,0.997750839124521,1.05708076898824e-06
"88",0,2,37,0.998839872289117,0.00132736640491197
"89",0,2,38,0.996809290331448,7.58084875986994e-09
"90",0,2,39,0.99953966631581,0.28102643617405
"91",0,2,40,0.997353784014698,1.17823004671978e-07
"92",0,2,41,0.999728526385734,0.789830677092981
"93",0,2,42,0.998965263386763,0.00341524992185195
"94",0,2,43,0.998791928461775,0.000931084308719271
"95",0,2,44,0.999540680259491,0.282980780577333
"96",0,2,45,0.999726054571507,0.782907764216282
"97",0,2,46,0.999295950784502,0.0450693062568355
"98",0,2,47,0.999183032099875,0.0185359597261421
"99",0,2,48,0.999779278478819,0.911311835137653
"100",0,2,49,0.998150638210835,1.17543825456358e-05
"101",0,2,50,0.999155016748682,0.0148736063864166
"102",0,10,1,0.998387303375257,5.45593590462306e-05
"103",0,10,2,0.999396889611645,0.0987635713392695
"104",0,10,3,0.999278785299932,0.0393846216223998
"105",0,10,4,0.999383755847327,0.0892876250492029
"106",0,10,5,0.999003441971451,0.00457560146730034
"107",0,10,6,0.999797802797817,0.942818352344689
"108",0,10,7,0.999603903667993,0.426440734499727
"109",0,10,8,0.999785817483092,0.923323231546515
"110",0,10,9,0.999641465335532,0.530281762184013
"111",0,10,10,0.999514764973902,0.236370987810266
"112",0,10,11,0.999311746349627,0.0510109706372703
"113",0,10,12,0.999369572962835,0.0800316422976256
"114",0,10,13,0.999511723600783,0.231346562626049
"115",0,10,14,0.999472891824772,0.174840396719087
"116",0,10,15,0.999705758778837,0.723918114134663
"117",0,10,16,0.999752609135382,0.853044147945885
"118",0,10,17,0.999470290886164,0.171533197404605
"119",0,10,18,0.999717023533264,0.757081892161475
"120",0,10,19,0.999384542606867,0.0898299777661438
"121",0,10,20,0.999631150780923,0.500621754274464
"122",0,10,21,0.999252485516792,0.0320236256616207
"123",0,10,22,0.999709117854751,0.733898750688472
"124",0,10,23,0.999524329744272,0.252773430497943
"125",0,10,24,0.999526345992891,0.256349119442001
"126",0,10,25,0.999769264877096,0.891111395364739
"127",0,10,26,0.999787747569593,0.926684898566346
"128",0,10,27,0.999759476551006,0.869375933512452
"129",0,10,28,0.999484783325838,0.190695399218433
"130",0,10,29,0.999460918668111,0.16007677350629
"131",0,10,30,0.999585674156419,0.380752613003789
"132",0,10,31,0.999504704848581,0.220096351068807
"133",0,10,32,0.999599516940728,0.415140000824407
"134",0,10,33,0.999729944705009,0.793771710675962
"135",0,10,34,0.999442155706058,0.139201497615324
"136",0,10,35,0.999444036184223,0.141175291562665
"137",0,10,36,0.999809215078129,0.958302588037741
"138",0,10,37,0.999697129479181,0.698006921634082
"139",0,10,38,0.999735497714616,0.808966441861673
"140",0,10,39,0.999477302457362,0.180578994202442
"141",0,10,40,0.999495492261618,0.206044228016403
"142",0,10,41,0.999639646148758,0.52499668581329
"143",0,10,42,0.999796582493775,0.940984668490519
"144",0,10,43,0.999710731269786,0.738667089948362
"145",0,10,44,0.99970495099614,0.721508093278972
"146",0,10,45,0.999821797471714,0.971954973374123
"147",0,10,46,0.999609374132147,0.440795554345367
"148",0,10,47,0.999718389952943,0.761038545123507
"149",0,10,48,0.999606072177225,0.43209663029865
"150",0,10,49,0.99967376358415,0.626909497161363
"151",0,10,50,0.999683248707671,0.65582578111131
"152",0,100,1,0.999567393692792,0.338415589573454
"153",0,100,2,0.999711137927623,0.739866144094059
"154",0,100,3,0.999765661887945,0.883331042591599
"155",0,100,4,0.99978735402835,0.926006324359726
"156",0,100,5,0.999575638399866,0.357069771248022
"157",0,100,6,0.999774085990894,0.90110364240429
"158",0,100,7,0.999817705115751,0.967898002911092
"159",0,100,8,0.999668157632242,0.609867739394313
"160",0,100,9,0.999491597452782,0.200341388648386
"161",0,100,10,0.999705940636013,0.72446017936955
"162",0,100,11,0.999225617313518,0.0259172271010799
"163",0,100,12,0.999706626047069,0.726501485720318
"164",0,100,13,0.999643061583322,0.53493690398298
"165",0,100,14,0.999053529451793,0.00673590605748424
"166",0,100,15,0.999612897523685,0.450191233147523
"167",0,100,16,0.999564516654054,0.33207765423009
"168",0,100,17,0.999507032545686,0.223774480013076
"169",0,100,18,0.999643171135849,0.535256986936036
"170",0,100,19,0.999731910837786,0.79919551247814
"171",0,100,20,0.999582473593427,0.373084260150207
"172",0,100,21,0.999802995130728,0.950235487397053
"173",0,100,22,0.999571682150965,0.348027690827858
"174",0,100,23,0.999353544810414,0.0706814338219401
"175",0,100,24,0.999757522728306,0.864816515329996
"176",0,100,25,0.999618506433106,0.465382789862732
"177",0,100,26,0.999607182398592,0.435009868733292
"178",0,100,27,0.999335441381484,0.061390662694037
"179",0,100,28,0.999430463322803,0.127488953319901
"180",0,100,29,0.999585875664876,0.381239009147996
"181",0,100,30,0.999767094396386,0.886455866887955
"182",0,100,31,0.999612365539392,0.448765215512648
"183",0,100,32,0.999435927673533,0.13284442307125
"184",0,100,33,0.999720580851972,0.767347846484471
"185",0,100,34,0.99966747892967,0.607809108115988
