"","lambda","q","n","W","p_val","skewness","kurt","bias"
"29",0,2,28,0.997767178081312,1.161592451777e-06,0.0804741809312023,3.47946837096913,0.00427538264168417
"30",0,2,29,0.997960444974785,3.63694032199906e-06,-0.0986690719234931,3.44206837635564,0.00313520448156218
"31",0,2,30,0.999335537214773,0.0614365678629895,-0.0109949295994254,3.2280048386398,0.00249628089726846
"32",0,2,35,0.99677144181546,6.32727725330196e-09,-0.113115617152909,3.66439550411479,-0.000101385858969994
"33",0,2,45,0.999355881357583,0.0719756371816747,-0.0642126913694781,3.16846752133456,-0.000565704210236876
"34",0,2,55,0.998035693293727,5.74952675651398e-06,0.0645071912026152,3.45646649411204,0.000833235013102885
"35",0,2,65,0.999381160913691,0.0875208880803238,0.0411382059654828,3.16862060183517,-0.00113646598426092
"36",0,2,75,0.999251139445823,0.0316860767579481,0.0113802389440834,3.24390691996963,-0.00208474332252394
"37",0,2,85,0.999115899329086,0.0109476047967058,0.0118651653298662,3.24137587731469,0.00131083644803341
"38",0,2,95,0.999589326391724,0.389633983856404,-0.0116378833362796,2.93379559702758,0.00109534630929699
"39",0,2,105,0.999506368124009,0.222719268780526,0.0349068094124068,3.09236844213763,-0.0023858999379177
"40",0,2,115,0.999532955807888,0.268364053707638,0.024833146827769,2.98414903639419,0.000183770030472178
"41",0,2,125,0.999674184610315,0.628191590765854,0.00319689280538429,3.08660257994456,-9.71556645339819e-05
"42",0,2,135,0.999271488744245,0.0371887116193148,0.0188729818940015,3.25894252413417,-5.19406742743487e-05
"43",0,2,145,0.997247117085173,6.73054461077007e-08,-0.0185745324417155,3.44669904821998,0.00236944687469345
"44",0,2,155,0.999059653121324,0.00706354678836384,-0.0578597935614518,3.23662559834743,-0.000638680581727533
"45",0,2,165,0.999698221277972,0.70130324552592,-0.0401812934950374,3.06275105562948,-0.000742512095661614
"46",0,2,175,0.999219136691883,0.0246277584219673,-0.0195416918560636,3.17942900002434,-0.000721459467860506
