lambda,q,n,W,p_val
0,100,6,0.999481308087832,0.185935106744909
0,100,7,0.999809379546436,0.958503883860575
0,100,8,0.999748424093056,0.842687102502222
0,100,9,0.999743291903209,0.829597132757451
0,100,10,0.999745868316046,0.836220268354591
0,100,11,0.999451555497928,0.149326938215709
0,100,12,0.99957446672949,0.354374472299444
0,100,13,0.99941977349521,0.117587527349609
0,100,14,0.9996772866804,0.637644195999002
0,100,15,0.999562971920395,0.328711397299978
0,100,16,0.999337887949264,0.0625731192679261
0,100,17,0.999592345607419,0.397080353944301
0,100,18,0.999765570872867,0.883131118095124
0,100,19,0.99958804618021,0.386505014358549
0,100,20,0.999650029437521,0.555438317287868
0,100,21,0.999762004236776,0.875168101755629
0,100,22,0.99963667539052,0.516414222079916
0,100,23,0.999693180813266,0.686051611674133
0,100,24,0.999642576559327,0.533520705516613
0,100,25,0.999611208547087,0.445672869156611
0,100,26,0.999444010085587,0.141147722745071
0,100,27,0.999676615730149,0.635598893489291
0,100,28,0.99964859598717,0.551197877430138
0,100,29,0.999717683035931,0.758993592154035
0,100,30,0.999744941381851,0.833849241584999
0.1,0.5,1,0.00495778967425042,9.80799959292195e-96
0.1,0.5,2,0.00782731481988419,1.14799201947243e-95
0.1,0.5,3,0.00329707425144321,8.95565178734479e-96
0.1,0.5,4,0.0543549344305623,1.5601046536614e-94
0.1,0.5,5,0.0780196537435318,6.14230482976939e-94
0.1,0.5,6,0.040896162373108,7.25165887925853e-95
0.1,0.5,7,0.0146355638228195,1.67039922459661e-95
0.1,0.5,8,0.0323277419320717,4.47439529205046e-95
0.1,0.5,9,0.0110529639789479,1.37084245243732e-95
0.1,0.5,10,0.00523431497104632,9.95773067706876e-96
0.1,0.5,11,0.121083051610839,8.06227654005748e-93
0.1,0.5,12,0.0412584488210311,7.40184435772585e-95
0.1,0.5,13,0.0618039094212316,2.39377117734189e-94
0.1,0.5,14,0.00322807287186644,8.92191223795094e-96
0.1,0.5,15,0.00760694114653426,1.13418254703878e-95
0.1,0.5,16,0.0146325824549077,1.67012408142287e-95
0.1,0.5,17,0.0122135909270261,1.46138387187755e-95
0.1,0.5,18,0.0385033860183994,6.33450304994382e-95
0.1,0.5,19,0.035023615472258,5.2063999422024e-95
0.1,0.5,20,0.0117774470792513,1.42666803657427e-95
0.1,0.5,21,0.0749132906193885,5.12212156585323e-94
0.1,0.5,22,0.0156691384669772,1.768616119189e-95
0.1,0.5,23,0.0264706320682851,3.2234368599933e-95
0.1,0.5,24,0.0253558831182944,3.02899779123074e-95
0.1,0.5,25,0.131201592988094,1.50003725678403e-92
0.1,0.5,26,0.0428238407782074,8.08799063544979e-95
0.1,0.5,27,0.0103547402516802,1.31914030704183e-95
0.1,0.5,28,0.0450788255603016,9.19175817848891e-95
0.1,0.5,29,0.00955892021995919,1.26262148243248e-95
0.1,0.5,30,0.0496164322064988,1.18999062493835e-94
0.1,2,1,0.857462992827033,2.31971609317294e-55
0.1,2,2,0.973475948076904,1.69065491039067e-29
0.1,2,3,0.943789674225043,5.19732705108875e-40
0.1,2,4,0.972941585845124,9.34385384210051e-30
0.1,2,5,0.98605607280789,7.90946737420889e-22
0.1,2,6,0.989977850148791,2.29994141223931e-18
0.1,2,7,0.976866536066738,9.16543732281591e-28
0.1,2,8,0.994955329193685,3.40257747887955e-12
0.1,2,9,0.986654037237309,2.37897945828727e-21
0.1,2,10,0.993011530826288,5.96047184799414e-15
0.1,2,11,0.916826261015786,3.6799750972381e-46
0.1,2,12,0.997936180556876,3.14284689387503e-06
0.1,2,13,0.989391529624103,6.14326693925148e-19
0.1,2,14,0.993068150797561,7.04502477433624e-15
0.1,2,15,0.993552893066706,3.06393429422663e-14
0.1,2,16,0.996519769169543,1.95898082931157e-09
0.1,2,17,0.996607087777473,2.92574300352151e-09
0.1,2,18,0.995679713789171,5.41235477368755e-11
0.1,2,19,0.994087096446803,1.68938675375396e-13
0.1,2,20,0.995073045294996,5.24058403386048e-12
0.1,2,21,0.996744059296453,5.5557932795758e-09
0.1,2,22,0.998045408964012,6.10328200099362e-06
0.1,2,23,0.998014245650904,5.04188117017041e-06
0.1,2,24,0.997400510599718,1.51140634956701e-07
0.1,2,25,0.991777953172625,1.92145799499297e-16
0.1,2,26,0.996247611877767,5.81798143139963e-10
0.1,2,27,0.997846963587289,1.84974124702263e-06
0.1,2,28,0.997270863729262,7.61640380171103e-08
0.1,2,29,0.998906559908769,0.00218742674928861
0.1,2,30,0.996852713452236,9.34174109909911e-09
0.1,10,1,0.995921165927278,1.44973369965792e-10
0.1,10,2,0.998722106586539,0.000559410511976556
0.1,10,3,0.998573108449043,0.000193951348302971
0.1,10,4,0.99875885359156,0.00073068233725874
0.1,10,5,0.999680549179836,0.647592981944268
0.1,10,6,0.999598190512033,0.411760537108243
0.1,10,7,0.999070091256076,0.00765995495168336
0.1,10,8,0.9995456842688,0.292784968378173
0.1,10,9,0.999304953322948,0.0483667891843746
0.1,10,10,0.999669709446684,0.614578831012507
0.1,10,11,0.999274888500825,0.0381963536202384
0.1,10,12,0.999637030883914,0.5174380095503
0.1,10,13,0.999495917046854,0.206674662627546
0.1,10,14,0.999512242632491,0.23219756795735
0.1,10,15,0.99931948326392,0.0541955982223232
0.1,10,16,0.999483513488437,0.188943682364798
0.1,10,17,0.999510056923322,0.228631727672829
0.1,10,18,0.999616868743962,0.460917956854829
0.1,10,19,0.999639601584857,0.524867495562685
0.1,10,20,0.999576068211305,0.358062175132725
0.1,10,21,0.999506085005882,0.2222709239982
0.1,10,22,0.999668855214414,0.611984811707859
0.1,10,23,0.999169386118542,0.0166504703715677
0.1,10,24,0.999550308781398,0.302082089867422
0.1,10,25,0.999334375649602,0.0608824124359801
0.1,10,26,0.999494570384045,0.2046817905182
