"lambda","q","n","W","p_val","skewness","kurt","bias"
0,10,5,0.999214723516777,0.0237866298734533,0.03816174151857,3.24133743608685,-0.00106542913537179
0,10,6,0.999713607249026,0.747121580092959,-0.043595040947676,3.01143689772402,-0.00973789040125457
0,10,7,0.999212846808368,0.0234377220913283,-0.0260547801866046,3.10230304939245,0.00474619763244888
0,10,8,0.999602512282667,0.422835839498952,-0.0283752543564071,3.09966939954599,0.00684754221635627
0,10,9,0.999588913660445,0.38862336883832,0.0304641291012376,3.01732075172353,-0.000740215284215818
0,10,10,0.999637918096399,0.519996960517088,-0.0219889937188977,2.95002091329965,0.0071490520161826
0,10,11,0.999534717279832,0.271642301812849,0.062203602980127,2.99185147468593,-0.000956894756740238
0,10,12,0.999136826615361,0.0128961377926638,-0.0684062779662695,2.91098871113964,0.00365348291207071
0,10,13,0.999762326424321,0.875897620144171,0.0261874452520258,3.07978309896775,0.00376074963312334
0,10,14,0.999571995686325,0.348738176713654,-0.0443245628306984,3.08828893120744,0.00303792870511649
0,10,15,0.999484124217782,0.189784393120352,0.0126833215425156,3.15001321126049,-0.00330939361577507
0,10,16,0.999781691398511,0.91585503172629,0.00382841199392282,3.00454046954839,-0.00129480988610915
0,10,17,0.999512661740994,0.232886671277429,0.0165301688570614,3.06733398849642,-0.00169565077446494
0,10,18,0.999635610632096,0.513353182128771,-0.0252798683749452,3.0525550911137,0.00233544846025737
0,10,19,0.999713157816695,0.745804396326296,0.0389946743355506,3.03909299454538,-0.00043935877471678
0,10,20,0.99958851375558,0.387645845419254,-0.0248873471266903,3.0913157280614,-0.00231656705847686
0,10,21,0.999621205175137,0.472791691739187,-0.0190956356355521,2.99398068856935,0.00131894711917311
0,10,22,0.999521623837401,0.248039687279736,-0.0291189159428323,3.13603988986668,0.00121855007707757
0,10,23,0.999724579698995,0.77874532507887,-0.00860203046425465,3.0531970551801,0.00416593740840173
0,10,24,0.999854351827622,0.992649035333553,-0.00634969289038644,3.0179006313412,0.00130052378227461
0,10,25,0.9997165286949,0.755645073671804,-0.0428038768657679,2.99319601838905,0.00281321649323858
0,10,26,0.999450331936553,0.147971817507947,-0.0759004136653678,3.02287707135186,-0.00276695017919623
0,10,27,0.999783117292404,0.918479043348647,-0.0277574074952086,2.97539181438744,0.000176115378600374
0,10,28,0.999633371648047,0.506943138224287,-0.0332522870014219,3.04367269240488,0.00142204296557478
0,10,29,0.999754270987164,0.857073760328523,-0.0141031076037614,3.03089053537584,-0.00148831711780552
0,10,30,0.999519137683161,0.243755634619296,0.0240009076164379,2.98493360364611,0.000157189395257103
0,100,1,0.999453050525844,0.15099807994498,0.0336260787079148,3.14137727088333,-0.0113249661069457
0,100,2,0.999761802372763,0.874710009311574,-0.0230544460643082,2.99997361064617,0.00695790199037514
0,100,3,0.99949184791161,0.200703929796364,0.051456924714471,3.05971923043267,-0.000274982735870878
0,100,4,0.999313317412222,0.0516424306106537,-0.0689065753004405,2.87917774114559,-0.0070429313175715
0,100,5,0.999540953413877,0.283509130076946,0.061581596170875,3.07538381257741,0.00147991811108344
0,100,6,0.999775355946708,0.903654082063251,-0.0105301860530704,2.9984081216275,-0.000543340007964009
0,100,7,0.999587731303684,0.385738031552696,0.0658577960356957,3.05203828232861,0.00141657833513746
0,100,8,0.999690013739411,0.676431748554355,0.0364132158198073,2.99471225382969,0.00181018080563004
0,100,9,0.999458065871118,0.156729347684278,0.077187092279535,3.05329741342618,0.000235163663521793
0,100,10,0.999482295810329,0.187277268950518,0.0211855264920507,3.03979834656288,0.00285666199207875
0,100,11,0.999675389899257,0.63186314253555,0.00664481337268437,3.01072543117242,0.00641583024187864
0,100,12,0.999739007115427,0.818361943809719,-0.0174162631152214,3.03033377518898,0.000104597095931304
0,100,13,0.999576462634584,0.358974602065118,-0.0132986740924554,3.11967592746139,0.000648904255566981
0,100,14,0.999515861230585,0.238204457199414,0.058104889109775,3.03500852289922,0.00217232501957578
0,100,15,0.999630081224622,0.497590826971564,0.0103571525127603,3.06428734830253,-0.000953376916725793
0,100,16,0.999731840026224,0.799000984671238,0.00771035041597257,3.00904898577035,0.00324546315147118
0,100,17,0.999766262018181,0.884645154075139,0.0056939212435407,3.05514222468139,-0.00202055610907017
0,100,18,0.999674196032449,0.628226376372781,0.0265926095600467,3.03809586153891,-0.00160224831141075
